TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.645,337453,90176,325500,,,,,,,,,,,,,,,,,,,,,,,
0.65,337450,90103,325434,,,,,,,,,,,,,,,,,,,,,,,
0.655,337445,90104,325419,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.66,337447,90043,325370,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.665,337451,90027,325334,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.67,337448,90083,325364,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xE0 0x00 0x00 0x00 0x00 0x00 0x00
0.675,337448,635326,325328,,,,,,,,,,,,,2,2,0,0,120,3,0,32,0,90,
0.68,337465,635359,325343,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xE0 0x00 0x00 0x00 0x00 0x00 0x00
0.685,337456,635389,325341,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xE0 0x00 0x00 0x00 0x00 0x00 0x00
0.69,337448,635407,325380,,,,,,,,,,,,,,,,,,,,,,,
0.692776,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.695,337450,635450,325434,,,,,,,,,,,,,,,,,,,,,,,
0.7,337461,635497,325467,,,,,,,,,,,,,,,,,,,,,,,
0.705,337457,635522,325453,,,,,,,,,,,,,,,,,,,,,,,
0.71,337461,635553,325502,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xE0 0x00 0x00 0x00 0x00 0x00 0x00
0.715,337457,635561,325506,,,,,,,,,,,,,,,,,,,,,,,
0.72,337466,635573,325514,,,,,,,,,,,,,,,,,,,,,,,
0.725,337454,635570,325503,,,,,,,,,,,,,,,,,,,,,,,
0.73,337464,635551,325489,,,,,,,,,,,,,,,,,,,,,,,
0.735,337463,635526,325430,,,,,,,,,,,,,,,,,,,,,,,
