TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.54,337345,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.545,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.55,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.555,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.56,337346,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.565,337343,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.57,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.575,337332,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.58,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.585,337328,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.59,337334,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.594408,,,,-1727,193,865,,,,,,,,,,,,,,,,,,,,
0.595,337330,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.6,337342,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.605,337326,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.61,337331,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.615,337336,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.62,337332,0,0,,,,,,,,,,,,,2,2,32,0,120,3,2,32,0,90,
0.625,337326,203856,362488,,,,,,,,,,,,,,,,,,,,,,,
0.63,337333,203810,362493,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.635,337329,203843,362516,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.64,337335,203837,362530,,,,,,,,,,,,,,,,,,,,,,,
0.645,337340,203860,362538,,,,,,,,,,,,,,,,,,,,,,,
0.65,337326,203867,362528,,,,,,,,,,,,,,,,,,,,,,,
0.655,337323,203873,362517,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.66,337338,203909,362550,,,,,,,,,,,,,,,,,,,,,,,
0.665,337323,203870,362550,,,,,,,,,,,,,,,,,,,,,,,
0.67,337334,203897,362576,,,,,,,,,,,,,,,,,,,,,,,
0.675,337339,749304,362574,,,,,,,,,,,,,2,2,0,0,120,3,0,32,0,90,
0.68,337338,749285,362560,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.685,337330,749298,362574,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.69,337336,749283,362581,,,,,,,,,,,,,,,,,,,,,,,
0.692776,,,,-1727,193,961,,,,,,,,,,,,,,,,,,,,
0.695,337334,749299,362558,,,,,,,,,,,,,,,,,,,,,,,
0.7,337333,749309,362568,,,,,,,,,,,,,,,,,,,,,,,
0.705,337329,749304,362556,,,,,,,,,,,,,,,,,,,,,,,
0.71,337332,749311,362592,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.715,337324,749328,362567,,,,,,,,,,,,,,,,,,,,,,,
0.72,337339,749352,362582,,,,,,,,,,,,,,,,,,,,,,,
0.725,337341,749337,362577,,,,,,,,,,,,,,,,,,,,,,,
0.73,337338,749350,362590,,,,,,,,,,,,,,,,,,,,,,,
0.735,337328,749366,362592,,,,,,,,,,,,,,,,,,,,,,,
0.74,337339,749343,362613,,,,,,,,,,,,,,,,,,,,,,,
0.745,337336,749349,362604,,,,,,,,,,,,,,,,,,,,,,,
0.75,337338,749372,362583,,,,,,,,,,,,,,,,,,,,,,,
0.755,337335,749360,362590,,,,,,,,,,,,,,,,,,,,,,,
0.76,337331,749377,362623,,,,,,,,,,,,,,,,,,,,,,,
0.765,337332,749387,362655,,,,,,,,,,,,,,,,,,,,,,,
0.77,337328,749415,362653,,,,,,,,,,,,,,,,,,,,,,,
0.775,337336,749410,362690,,,,,,,,,,,,,,,,,,,,,,,
0.78,337329,749424,362699,,,,,,,,,,,,,,,,,,,,,,,
0.785,337332,749428,362720,,,,,,,,,,,,,,,,,,,,,,,
0.79,337328,749449,362749,,,,,,,,,,,,,,,,,,,,,,,
0.792776,,,,-1727,97,865,,,,,,,,,,,,,,,,,,,,
0.795,337330,749451,362733,,,,,,,,,,,,,,,,,,,,,,,
0.8,337333,749494,362791,,,,,,,,,,,,,,,,,,,,,,,
0.805,337322,749495,362829,,,,,,,,,,,,,,,,,,,,,,,
0.81,337337,749504,362843,,,,,,,,,,,,,,,,,,,,,,,
0.815,337325,749522,362862,,,,,,,,,,,,,,,,,,,,,,,
0.82,337331,749535,362881,,,,,,,,,,,,,,,,,,,,,,,
0.825,337334,749555,362889,,,,,,,,,,,,,,,,,,,,,,,
0.83,337331,749591,362897,,,,,,,,,,,,,,,,,,,,,,,
0.835,337333,749584,362944,,,,,,,,,,,,,,,,,,,,,,,
0.84,337324,749610,362941,,,,,,,,,,,,,,,,,,,,,,,
0.845,337328,749626,362984,,,,,,,,,,,,,,,,,,,,,,,
0.85,337324,749640,362997,,,,,,,,,,,,,,,,,,,,,,,
0.855,337328,749625,363015,,,,,,,,,,,,,,,,,,,,,,,
0.86,337326,749633,363061,,,,,,,,,,,,,,,,,,,,,,,
0.865,337336,749653,363046,,,,,,,,,,,,,,,,,,,,,,,
0.87,337331,749649,363014,,,,,,,,,,,,,,,,,,,,,,,
0.875,337335,749640,362992,,,,,,,,,,,,,,,,,,,,,,,
0.88,337329,749645,362948,,,,,,,,,,,,,,,,,,,,,,,
0.885,337342,749606,362883,,,,,,,,,,,,,,,,,,,,,,,
0.89,337338,749567,362772,,,,,,,,,,,,,,,,,,,,,,,
0.894123,,,,-1727,193,961,,,,,,,,,,,,,,,,,,,,
0.895,337328,749503,362699,,,,,,,,,,,,,,,,,,,,,,,
0.9,337339,749481,362617,,,,,,,,,,,,,,,,,,,,,,,
0.905,337329,749458,362547,,,,,,,,,,,,,,,,,,,,,,,
0.91,337335,749423,362447,,,,,,,,,,,,,,,,,,,,,,,
0.915,337328,749397,362442,,,,,,,,,,,,,,,,,,,,,,,
0.92,337334,749399,362336,,,,,,,,,,,,,,,,,,,,,,,
0.925,337327,749373,362302,,,,,,,,,,,,,,,,,,,,,,,
0.93,337333,749346,362263,,,,,,,,,,,,,,,,,,,,,,,
0.935,337324,749328,362227,,,,,,,,,,,,,,,,,,,,,,,
0.94,337327,749333,362191,,,,,,,,,,,,,,,,,,,,,,,
0.945,337331,749326,362205,,,,,,,,,,,,,,,,,,,,,,,
0.95,337326,749335,362161,,,,,,,,,,,,,,,,,,,,,,,
0.955,337326,749311,362151,,,,,,,,,,,,,,,,,,,,,,,
0.96,337329,749318,362113,,,,,,,,,,,,,,,,,,,,,,,
0.965,337331,749313,362095,,,,,,,,,,,,,,,,,,,,,,,
0.97,337329,749349,362105,,,,,,,,,,,,,,,,,,,,,,,
0.975,337332,749337,362131,,,,,,,,,,,,,,,,,,,,,,,
0.98,337319,749347,362071,,,,,,,,,,,,,,,,,,,,,,,
0.985,337322,749389,362085,,,,,,,,,,,,,,,,,,,,,,,
0.99,337326,749378,362098,,,,,,,,,,,,,,,,,,,,,,,
0.995,337324,749425,362148,,,,,,,,,,,,,,,,,,,,,,,
0.99525,,,,-1727,193,865,,,,,,,,,,,,,,,,,,,,
